,CAND_ID,VOTECOUNT,VOTESHARE,WIN_LOSS
318,H2OR01133 ,160038.0,57.31,1
319,H2OR01216,11163.0,4.0,0
320,H2OR01224,11213.0,4.02,0
321,H2OR05175,6208.0,2.21,0
322,H2PA02055,181141.0,87.7,1
323,H2PA04135,147090.0,74.54,1
324,H2PA09035,110094.0,63.52,1
325,H2PA09043,63223.0,36.48,0
326,H2PA11098,122464.0,66.31,1
327,H2PA17079,93680.0,56.76,1
328,H2PA18143,166076.0,100.0,1
329,H2SC02042,125747.0,72.51,1
330,H2SC02059,121649.0,62.45,1
331,H2SC07066,102833.0,59.95,1
332,H2TN01098,4148.0,2.97,0
333,H2TN02112,4033.0,2.42,0
334,H2TN03144,53983.0,34.58,0
335,H2TN05131,96148.0,62.32,1
336,H2TN06030,110534.0,70.0,1
337,H2TN07194,5093.0,3.23,0
338,H2TN08077,3452.0,2.0,0
339,H2TN08119,42433.0,24.59,0
340,H2TX00015,93041.0,87.95,1
341,H2TX01062,33476.0,22.53,0
342,H2TX02102,1312.0,0.87,0
343,H2TX03118,113404.0,82.01,1
344,H2TX03126,96495.0,61.82,1
345,H2TX05121,88998.0,85.36,1
346,H2TX06160,3635.0,2.41,0
347,H2TX07036,49478.0,34.55,0
348,H2TX10113,60243.0,34.14,0
349,H2TX11095,5706.0,3.99,0
350,H2TX14149,90116.0,61.85,1
351,H2TX15088,2460.0,2.73,0
352,H2TX16185,49338.0,67.49,1
353,H2TX16201,21324.0,29.17,0
354,H2TX18140,26249.0,24.76,0
355,H2TX20062,27831.0,14.73,0
356,H2TX22126,924.0,0.7,0
357,H2TX23082,62508.0,82.1,1
358,H2TX23124,55037.0,47.68,0
359,H2TX24114,46548.0,32.31,0
360,H2TX26093,116944.0,82.66,1
361,H2TX27190,47503.0,59.47,1
362,H2TX29030,41321.0,89.55,1
363,H2TX29105,4822.0,10.45,0
364,H2TX30103,4276.0,2.74,0
365,H2TX31044,91607.0,64.05,1
366,H2TX33040,107120.0,60.22,1
367,H2TX33073,43769.0,86.51,1
368,H2TX35011,66554.0,75.66,1
369,H2TX35029,32040.0,33.3,0
